MPI 3D np=8 -O2,3.9604,3.36009e-06,0.297611,darkslategrey
MPI 3D np=8 -O2,3.9604,3.18998e-06,0.313481,darkslategrey
MPI 3D np=8 -O2,3.9604,3.33757e-06,0.299619,darkslategrey
MPI 3D np=8 -O2,3.9604,3.43729e-06,0.290927,darkslategrey
MPI 3D np=8 -O2,3.9604,3.40216e-06,0.293931,darkslategrey
MPI 3D np=8 -O2,3.9604,3.15604e-06,0.316853,darkslategrey
MPI 3D np=8 -O2,3.9604,3.45433e-06,0.289492,darkslategrey
MPI 3D np=8 -O2,3.9604,2.95945e-06,0.3379,darkslategrey
MPI 3D np=8 -O2,3.9604,3.19922e-06,0.312576,darkslategrey
MPI 3D np=8 -O2,3.9604,3.36993e-06,0.296742,darkslategrey
MPI 3D np=8 -O2,3.9604,3.39782e-06,0.294306,darkslategrey
MPI 3D np=8 -O2,3.9604,3.28838e-06,0.304101,darkslategrey
MPI 3D np=8 -O2,3.9604,3.45729e-06,0.289244,darkslategrey
MPI 3D np=8 -O2,3.9604,3.35051e-06,0.298462,darkslategrey
MPI 3D np=8 -O2,3.9604,3.52557e-06,0.283642,darkslategrey
MPI 3D np=8 -O2,3.9604,3.17028e-06,0.31543,darkslategrey
MPI 3D np=8 -O2,3.9604,3.29019e-06,0.303934,darkslategrey
MPI 3D np=8 -O2,3.9604,3.17971e-06,0.314494,darkslategrey
MPI 3D np=8 -O2,3.9604,3.31834e-06,0.301355,darkslategrey
MPI 3D np=8 -O2,3.9604,2.97739e-06,0.335865,darkslategrey
MPI 3D np=8 -O2,3.9604,3.02259e-06,0.330842,darkslategrey
MPI 3D np=8 -O2,3.9604,3.27411e-06,0.305426,darkslategrey
MPI 3D np=8 -O2,3.9604,2.99861e-06,0.333488,darkslategrey
MPI 3D np=8 -O2,3.9604,3.09621e-06,0.322975,darkslategrey
MPI 3D np=8 -O2,3.9604,3.11925e-06,0.32059,darkslategrey
MPI 3D np=8 -O2,3.9604,2.93546e-06,0.340662,darkslategrey
MPI 3D np=8 -O2,3.9604,3.25221e-06,0.307483,darkslategrey
MPI 3D np=8 -O2,3.9604,3.29601e-06,0.303397,darkslategrey
MPI 3D np=8 -O2,3.9604,3.3448e-06,0.298971,darkslategrey
MPI 3D np=8 -O2,3.9604,2.93101e-06,0.341179,darkslategrey
MPI 3D np=8 -O2,3.9604,3.1851e-06,0.313962,darkslategrey
MPI 3D np=8 -O2,3.9604,3.31728e-06,0.301452,darkslategrey
MPI 3D np=8 -O2,3.9604,3.2877e-06,0.304164,darkslategrey
MPI 3D np=8 -O2,3.9604,3.0471e-06,0.328181,darkslategrey
MPI 3D np=8 -O2,3.9604,3.11307e-06,0.321227,darkslategrey
MPI 3D np=8 -O2,3.9604,3.06507e-06,0.326257,darkslategrey
MPI 3D np=8 -O2,3.9604,3.10812e-06,0.321738,darkslategrey
